Start,End,Total duration,Alarm text,Alarm class
02/10/2018 07:58,02/10/2018 07:59,59,a,S
02/10/2018 07:58,02/10/2018 07:59,56,c,O
02/10/2018 08:01,02/10/2018 08:01,1,a,S
02/10/2018 08:03,02/10/2018 08:03,3,a,S
02/10/2018 08:04,02/10/2018 08:04,6,a,S
02/10/2018 08:04,02/10/2018 08:04,1,c,O
02/10/2018 08:06,02/10/2018 08:06,8,a,S
02/10/2018 08:06,02/10/2018 08:06,4,c,O
02/10/2018 08:08,02/10/2018 08:08,2,a,S
02/10/2018 08:16,02/10/2018 08:16,2,a,S
02/10/2018 08:18,02/10/2018 08:18,1,a,S
02/10/2018 08:19,02/10/2018 08:20,9,a,S
02/10/2018 08:20,02/10/2018 08:20,4,c,O
02/10/2018 08:31,02/10/2018 08:31,1,a,S
02/10/2018 08:33,02/10/2018 08:33,13,a,S
02/10/2018 08:33,02/10/2018 08:33,9,c,O
02/10/2018 08:36,02/10/2018 08:36,6,a,S
02/10/2018 08:36,02/10/2018 08:36,3,c,O
02/10/2018 08:39,02/10/2018 08:39,5,a,S
02/10/2018 08:41,02/10/2018 08:41,7,a,S
02/10/2018 08:41,02/10/2018 08:41,3,c,O
02/10/2018 08:44,02/10/2018 09:13,1693,a,S
02/10/2018 08:44,02/10/2018 08:45,11,c,O
02/10/2018 08:45,02/10/2018 09:13,1680,b,E
02/10/2018 09:16,02/10/2018 09:17,49,a,S
02/10/2018 09:16,02/10/2018 09:17,45,c,O
02/10/2018 09:27,02/10/2018 09:30,171,a,S
02/10/2018 09:53,02/10/2018 10:02,556,a,S
02/10/2018 10:05,02/10/2018 10:12,381,a,S
02/10/2018 10:26,02/10/2018 10:26,1,a,S
02/10/2018 10:53,02/10/2018 10:53,3,a,S
02/10/2018 10:55,02/10/2018 10:55,12,a,S
02/10/2018 10:56,02/10/2018 11:10,848,a,S
02/10/2018 11:12,02/10/2018 11:14,128,a,S
02/10/2018 11:30,02/10/2018 11:45,900,b,E
02/10/2018 11:30,02/10/2018 11:45,900,a,S
02/10/2018 11:56,02/10/2018 11:57,40,a,S
